BD-10-head	BD-9-head	KD-8-head	KD-6-head	BD-10-tumor	BD-09-tumor	KD-8-tumor	KD-6-tumor
31	5	33	35	19	38	43	23
51	36	55	69	42	70	65	56
54	22	57	50	44	68	63	52
81	44	68	97	79	73	71	68
95	64	66	83	76	125	88	74
30	10	21	40	29	26	44	26
74	37	66	88	63	90	99	96
80	31	54	107	52	51	61	81
47	33	65	33	47	58	62	41
102	80	114	87	78	142	110	106
92	56	77	99	106	91	92	91
111	56	90	114	82	99	126	77
124	59	95	116	95	118	133	111
58	50	72	70	86	60	62	70
37	23	40	59	29	33	69	53
48	16	41	63	21	42	56	39
36	13	46	49	25	52	60	37
97	38	92	91	83	87	99	81
26	26	30	32	26	41	83	53
75	30	39	66	41	59	64	52
85	35	68	88	77	75	67	64
91	56	79	104	63	82	94	67
85	84	93	99	101	78	96	75
64	23	67	53	36	33	54	80
39	21	56	49	35	33	49	51
115	78	99	102	81	110	132	82
141	80	115	108	135	119	134	113
74	51	107	108	86	122	131	111
59	50	77	73	79	77	72	65
34	42	31	46	26	53	70	54
83	90	95	87	86	106	115	84
33	20	26	31	12	44	44	36
53	31	62	41	45	55	47	48
111	84	130	144	127	125	101	112
107	47	70	101	105	105	94	89
124	69	92	96	101	100	89	90
90	53	65	60	71	82	89	93
73	49	79	80	87	92	95	66
106	62	95	73	86	114	110	96
33	32	27	51	66	55	73	56
25	14	19	20	38	26	29	24
95	48	103	89	88	78	80	76
66	42	90	58	63	69	84	106
85	84	93	99	101	78	96	75
106	69	84	97	88	110	107	77
69	26	68	67	71	67	77	65
40	36	45	60	23	56	60	43
120	39	109	93	95	99	126	96
69	43	80	79	96	91	102	65
48	32	48	66	40	57	69	71
58	24	47	72	31	48	63	54
52	34	54	58	42	50	51	52
76	37	68	89	62	103	88	59
40	44	67	61	37	63	93	54
47	30	41	54	43	54	68	48
17	19	35	41	16	34	58	38
18	8	23	17	15	33	28	56
79	51	85	109	80	106	68	92
55	26	56	47	41	57	70	60
75	44	63	60	69	72	86	64
81	60	75	83	87	98	99	54
64	79	73	82	89	100	96	73
57	44	86	98	83	91	87	95
50	30	42	52	63	37	58	48
27	20	46	44	30	33	50	42
66	15	54	61	24	43	67	44
57	41	44	68	65	74	90	62
74	47	76	83	54	58	65	69
72	42	76	104	63	82	70	77
81	58	100	94	95	83	88	77
128	62	99	97	89	131	110	89
105	69	93	96	97	85	105	84
95	81	118	134	97	97	129	122
48	68	84	67	88	59	98	81
65	49	60	75	46	91	59	56
37	18	20	25	34	34	42	50
78	37	68	83	63	80	74	68
38	24	49	65	68	38	45	62
49	35	51	53	34	51	77	61
101	92	101	102	103	128	135	98
71	38	50	61	63	49	67	67
110	54	96	93	72	120	115	91
89	61	87	54	98	98	114	72
137	56	115	134	118	140	135	99
83	66	81	90	86	78	110	106
66	28	43	55	51	80	78	60
74	45	66	106	59	50	80	68
66	17	60	84	36	69	80	67
55	19	57	54	31	50	59	57
16	10	19	23	7	26	14	15
36	16	21	21	43	44	37	28
38	30	37	33	21	42	50	37
23	15	36	39	19	37	58	18
24	17	24	25	21	30	26	30
40	42	41	36	51	36	44	48
48	37	45	44	37	50	39	35
24	43	29	45	47	41	16	8
42	29	51	44	50	76	66	72
23	28	31	40	29	29	38	37
49	27	39	64	55	43	42	50
15	3	10	26	14	21	21	14
42	28	50	38	49	41	59	41
36	27	51	29	22	42	25	37
23	31	36	41	49	62	61	27
27	11	35	48	26	58	26	31
38	39	27	29	39	38	32	30
26	27	35	28	48	43	38	31
45	18	41	42	46	28	38	34
36	15	17	19	16	27	17	24
24	27	33	36	56	38	25	27
